,region,year,unit_type,main_gks,additional,ministry_mvd,ministry_defence,map_region,id,num_all,num_partial,num_defence_all,num_defence_service,num_defence_disability,num_defence_lost,num_mvd_all,num_mvd_service,num_mvd_disability,num_mvd_lost,pens_total,pens_age,pens_disability,pens_service,pens_social,pens_lost,pens2livmin,cpi,working,population,urban,unempl,grppc
0,Алтайский край,1994,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,,,,,,,,,,,,,,,,,1520890,2689296,51.97,,
1,Алтайский край,1995,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,,,,,,,,,,,,,,,127.2,,1525871,2691148,52.45,,
2,Алтайский край,1996,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,,,,,,,,,,,,,,,142,,1532373,2682355,52.55,,7605.8
3,Алтайский край,1997,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,,,,,,,,,,,,,,,144.9,,1546581,2673562,52.76,,7431
4,Алтайский край,1998,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,,,,,,,,,398.2,,,,,,105.7,,1565124,2666601,52.89,,8012.4
5,Алтайский край,1999,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,9546,6937,961,1648,,,,,517.1,,,,,,99.4,,1584498,2657204,52.77,,12204.8
6,Алтайский край,2000,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10277,7565,961,1751,,,,,815.4,,,,,,99.3,,1602096,2646355,52.8,11.7,17660.5
7,Алтайский край,2001,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10345,7649,948,1748,,,,,1114,,,,,,112.6,,1608270,2631066,53.06,10,23509
8,Алтайский край,2002,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10204,7819,795,1590,,,,,1403,,,,,,126.5,113.06,1616992,2611822,53.23,8.3,27991.2
9,Алтайский край,2003,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10318,7982,761,1575,,,,,1683.4,,,,,,126.5,112.78,1613803,2587291,53.5,12.3,34295.8
10,Алтайский край,2004,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10339,8007,723,1609,,,,,1947,,,,,,129.5,112.87,1602645,2555708,53.7,9.1,44934.9
11,Алтайский край,2005,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10285,8054,666,1565,,,,,2436.3,,,,,,138.3,113.64,1583732,2521470,54,8.8,53812.4
12,Алтайский край,2006,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,,,10205,8109,589,1507,,,,,2705.3,,,,,,110.6,107.72,1562232,2488267,54.2,8.9,69852
13,Алтайский край,2007,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,705,682,10084,8128,535,1421,,,,,3504.6,,,,,,121.4,112.1,1541647,2463239,54.3,6.4,90759.9
14,Алтайский край,2008,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,709,685,10060,8200,499,1361,,,,,4285.6,,,,,,119.9,114.47,1518751,2446182,54.5,8.3,106019.5
15,Алтайский край,2009,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,721,,9976,8263,433,1280,,,,,5791.1,,,,,,142.6,110.14,1493828,2434837,54.3,12.3,109088.7
16,Алтайский край,2010,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,733,708,10026,8416,410,1200,12116,10361,671,1084,7121.5,,,,,,153.3,108.2,1464683,2424062,54.8,8.8,124955.8
17,Алтайский край,2011,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,741,714,10064,8601,392,1071,13485,11771,640,1074,7716.5,,,,,,164.7,104.81,1434607,2412294,55.2,8.5,137677.2
18,Алтайский край,2012,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,749,721,10039,8603,383,1053,13654,11970,619,1065,8497.9,,,,,,170.6,107.17,1403817,2402990,55.5,6.2,153556.7
19,Алтайский край,2013,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,758,730,10055,8563,342,1150,13726,12065,622,1039,9258.4,,,,,,173.3,107.03,1372701,2394694,55.8,8.3,173763.5
20,Алтайский край,2014,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,766,,10020,8575,325,1120,14024,12379,628,1017,10063.5,,,,,,162.9,111.2,1344843,2387725,56,7.2,186798.6
21,Алтайский край,2015,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,779,750,10015,8532,322,1161,14839,13198,620,1021,11072.9,11581.2,7776.3,,8298.3,9293.8,154.8,112.37,1315440,2380793,56.2,8,204933.1
22,Алтайский край,2016,1,        Алтайский край,        Алтайский край,Алтайский край,        Алтайский край,Altay,2,789,758,10013,8472,305,1236,16010,14338,609,1063,16379.1,16876.9,12991.9,,13623.6,14519.6,231.7,105.81,1288461,2371227,56.3,8.6,210350.7
